name_ko,name_en,name_scientific,ins_number,cas_number,aliases,usage_condition,is_allowed,law_source
살리실산메틸,Methyl Salicylate,,,,,,True,식품첨가물공전
석유왁스,Petroleum Wax,,,,,,True,식품첨가물공전
세스퀴탄산나트륨,Sodium Sesquicarbonate,,,,,,True,식품첨가물공전
소르비탄지방산에스테르,Sorbitan Esters of Fatty Acids,,,,,,True,식품첨가물공전
소브산,Sorbic Acid,,,,,,True,식품첨가물공전
소브산칼륨,Potassium Sorbate,,,,,,True,식품첨가물공전
소브산칼슘,Calcium Sorbate,,,,,,True,식품첨가물공전
D-소비톨,D-Sorbitol,,,,,,True,식품첨가물공전
D-소비톨액,D-Sorbitol Syrup,,,,,,True,식품첨가물공전
수산화나트륨,Sodium Hydroxide,,,,,,True,식품첨가물공전
수산화나트륨액,Sodium Hydroxide Solution,,,,,,True,식품첨가물공전
수산화마그네슘,Magnesium Hydroxide,,,,,,True,식품첨가물공전
수산화암모늄,Ammonium Hydroxide,,,,,,True,식품첨가물공전
수산화칼륨,Potassium Hydroxide,,,,,,True,식품첨가물공전
수산화칼슘,Calcium Hydroxide,,,,,,True,식품첨가물공전
수소,Hydrogen,,,,,,True,식품첨가물공전
수용성안나토,"Annatto, Water-Soluble",,,,,,True,식품첨가물공전
수크랄로스,Sucralose,,,,,,True,식품첨가물공전
쉘락,Shellac,,,,,,True,식품첨가물공전
스모크향,Smoke Flavours,,,,,,True,식품첨가물공전
스테비올배당체,Steviol Glycoside,,,,,,True,식품첨가물공전
스테아린산마그네슘,Magnesium Stearate,,,,,,True,식품첨가물공전
128	사카린나트륨,Sodium Saccharin,,,,,,True,식품첨가물공전
129	사프란색소,Saffron Color,,,,,,True,식품첨가물공전
130	산성아황산나트륨,Sodium Bisulfite,,,,,,True,식품첨가물공전
131	산성알루미늄인산나트륨,"Sodium Aluminium Phosphate, Acidic",,,,,,True,식품첨가물공전
132	산성피로인산나트륨,Disodium Dihydrogen Pyrophosphate,,,,,,True,식품첨가물공전
133	산성피로인산칼슘,Calcium Dihydrogen Pyrophosphate,,,,,,True,식품첨가물공전
134	산소,Oxygen,,,,,,True,식품첨가물공전
135	산화마그네슘,Magnesium Oxide,,,,,,True,식품첨가물공전
136	산화철,Iron Oxides,,,,,,True,식품첨가물공전
137	산화칼슘,Calcium Oxide,,,,,,True,식품첨가물공전
138	살리실산메틸,Methyl Salicylate,,,,,,True,식품첨가물공전
139	석유왁스,Petroleum Wax,,,,,,True,식품첨가물공전
140	세스퀴탄산나트륨,Sodium Sesquicarbonate,,,,,,True,식품첨가물공전
141	소르비탄지방산에스테르,Sorbitan Esters of Fatty Acids,,,,,,True,식품첨가물공전
142	소브산,Sorbic Acid,,,,,,True,식품첨가물공전
143	소브산칼륨,Potassium Sorbate,,,,,,True,식품첨가물공전
144	소브산칼슘,Calcium Sorbate,,,,,,True,식품첨가물공전
145	D-소비톨,D-Sorbitol,,,,,,True,식품첨가물공전
146	D-소비톨액,D-Sorbitol Syrup,,,,,,True,식품첨가물공전
147	수산화나트륨,Sodium Hydroxide,,,,,,True,식품첨가물공전
148	수산화나트륨액,Sodium Hydroxide Solution,,,,,,True,식품첨가물공전
149	수산화마그네슘,Magnesium Hydroxide,,,,,,True,식품첨가물공전
150	수산화암모늄,Ammonium Hydroxide,,,,,,True,식품첨가물공전
151	수산화칼륨,Potassium Hydroxide,,,,,,True,식품첨가물공전
152	수산화칼슘,Calcium Hydroxide,,,,,,True,식품첨가물공전
153	수소,Hydrogen,,,,,,True,식품첨가물공전
154	수용성안나토,"Annatto, Water-Soluble",,,,,,True,식품첨가물공전
